Taxon,Taxon.Author,Subtaxon.Author,Common.Name,Kingdom,Phylum,Subphylum,Superclass,Class,Subclass,Superorder,Order,Suborder,Superfamily,Family,Subfamily,Tribe,Genus,Species,Hybrid,Subspecies,Variety,Origin,Provincial.Status,National.Status,Reporting.Status,Observation,Collected.Reported..y.m.d.,Collector.Source,Collection.List,Accession.Number,GBIF.ID,First.Observed,Observer,iNaturalist.Link,Notes,ID,Stats.Code
Chondracanthus exasperatus,(Harvey & Bailey) Hughey,,Turkish towel,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gigartinales,,,Gigartinaceae,,,Chondracanthus,exasperatus,,,,,unlisted,unlisted,new 2015,observed,1996-02-04,E. Mcneil,UBC,A82321,,2015-08-28,Lauren Magner,iNat:3734901,,127153,ALG
Cladophora columbiana,Collins,,green pin-cushion alga,Plantae,Chlorophyta,,,Ulvophyceae,,,Cladophorales,,,Cladophoraceae,,,Cladophora,columbiana,,,,,unlisted,unlisted,new 2016,observed,,,,,,2016-09-01,Andrew Simon,iNat:4017201,,117775,ALG
Cladophora sp.,,,sea moss,Plantae,Chlorophyta,,,Ulvophyceae,,,Cladophorales,,,Cladophoraceae,,,Cladophora,,,,,,unlisted,unlisted,reported,unobserved,2013-05-17,Andy Lamb,PMLS,PMLS2021:148,,,,,,53707,ALG
Clathromorphum sp.,,,crustose coralline,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Corallinophycidae,,Corallinales,,,Corallinaceae,,,Clathromorphum,,,,,,unlisted,unlisted,confirmed,unobserved,1993-08-16,Andy Lamb,PMLS,PMLS2021:1054,,,,,,326286,ALG
Cocconeis sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Cocconeidales,,,Cocconeidaceae,,,Cocconeis,,,,,,unlisted,unlisted,new 2005,observed,,,,,,2005-07-19,Mark Webber,iNat:5197578,,339306,ALG
Codium fragile,Hariot,,sea staghorn,Plantae,Chlorophyta,,,Ulvophyceae,,,Bryopsidales,,,Codiaceae,,,Codium,fragile,,,,,unlisted,unlisted,confirmed,observed,1977-11-27,Michael W. Hawkes,UBC,A57498,,2023-03-22,Brad West,iNat:151948257,cf Codium fragile subsp. californicum (J.Agardh) Maggs & J.Kelly,67555,ALG
Codium setchellii,N.L.Gardner,,spongy cushion,Plantae,Chlorophyta,,,Ulvophyceae,,,Bryopsidales,,,Codiaceae,,,Codium,setchellii,,,,,unlisted,unlisted,confirmed,unobserved,1994-10-22,Andy Lamb,PMLS,PMLS2021:6,,,,,,117776,ALG
Colpomenia peregrina,Sauvageau,,round brown bag,Chromista,Ochrophyta,,,Phaeophyceae,,,Scytosiphonales,,,Scytosiphonaceae,,,Colpomenia,peregrina,,,,,unlisted,unlisted,new 2015,observed,2006-09-28,Andy Lamb,PMLS,PMLS2021:313,,2015-08-28,Lauren Magner,iNat:3734842,,129737,ALG
Congregatocarpus kurilensis,(Ruprecht) M.J.Wynne,,red alga,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Ceramiales,,,Delesseriaceae,Delesserioideae,,Congregatocarpus,kurilensis,,,,,unlisted,unlisted,reported,unobserved,2006-09-29,Andy Lamb,PMLS,PMLS2021:1200,,,,,,1424968,ALG
Constantinea simplex,Setchell,,cup and saucer seaweed,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gigartinales,,,Dumontiaceae,,,Constantinea,simplex,,,,,unlisted,unlisted,confirmed,observed,1995-02-24,Charlie Gibbs,PMLS,PMLS2021:1067,,,,,,345231,ALG
Constantinea subulifera,Setchell,,giant cup and saucer seaweed,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gigartinales,,,Dumontiaceae,,,Constantinea,subulifera,,,,,unlisted,unlisted,reported,confirmed,2016-02-07,Andy Lamb,PMLS,PMLS2021:2221,,2019-05-05,Bridgette Clarkston,iNat:25927075,,473053,ALG
Corallina vancouveriensis,Yendo,,graceful coralline,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Corallinophycidae,,Corallinales,,,Corallinaceae,,,Corallina,vancouveriensis,,,,,unlisted,unlisted,confirmed,unobserved,1995-02-24,Charlie Gibbs,PMLS,PMLS2021:1066,,,,,,126448,ALG
Corethron hystrix,Hensen,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Corethrales,,,Corethraceae,,,Corethron,hystrix,,,,,unlisted,unlisted,new 2006,observed,,,,,,2006-01-06,Mark Webber,iNat:49989060,,484134,ALG
Coscinodiscus granii,L.F. Gough,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Coscinodiscales,,,Coscinodiscaceae,,,Coscinodiscus,granii,,,,,unlisted,unlisted,new 2009,observed,,,,,,2009-08-02,Mark Webber,iNat:9291001,,570485,ALG
Coscinodiscus radiatus,Ehrenberg,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Coscinodiscales,,,Coscinodiscaceae,,,Coscinodiscus,radiatus,,,,,unlisted,unlisted,new 2009,observed,,,,,,2009-12-15,Mark Webber,iNat:40704549,,424382,ALG
Coscinodiscus wailesii,Gran & Angst,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Coscinodiscales,,,Coscinodiscaceae,,,Coscinodiscus,wailesii,,,,,unlisted,unlisted,new 2019,observed,,,,,,2019-09-18,Mark Webber,iNat:44884072,,549788,ALG
Costaria costata,(C. Agardh) De A. Saunders,,seersucker kelp,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,Laminariaceae,,,Costaria,costata,,,,,unlisted,unlisted,new 2017,observed,1993-05-09,Charlie Gibbs,PMLS,PMLS2021:185,,2017-04-08,Tyrel Froese,iNat:5620533,,125877,ALG
Cryptonemia obovata,J.Agardh 1876,,red alga,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Halymeniales,,,Halymeniaceae,,,Cryptonemia,obovata,,,,,unlisted,unlisted,new 2023,unobserved,2023-05-27,Zach Montieth,Lindstrom 2023,17883,,,,,,345216,ALG
Cryptopleura ruprechtiana,(J.Agardh) Kylin,,hidden rib,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Ceramiales,,,Delesseriaceae,,Cryptopleureae,Cryptopleura,ruprechtiana,,,,,unlisted,unlisted,new 2019,observed,,,,,,2019-05-04,Bridgette Clarkston,iNat:25861039,,327014,ALG
Cryptosiphonia woodii,(J.Agardh) J.Agardh,,dark branching-tube seaweed,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gigartinales,,,Dumontiaceae,,,Cryptosiphonia,woodii,,,,,unlisted,unlisted,new 2019,observed,2009-03-20,Andy Lamb,PMLS,PMLS2021:1744,,2019-05-04,John D Reynolds,iNat:24708735,,117777,ALG
Cumathamnion decipiens,(J.Agardh) M.J.Wynne & G.W.Saunders,,winged rib,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Ceramiales,,,Delesseriaceae,,,Cumathamnion,decipiens,,,,,unlisted,unlisted,confirmed,observed,2006-09-28,Andy Lamb,PMLS,PMLS2021:1175,,2021-03-13,Dave Zeuss Cochrane,iNat:71178850,reported as Delesseria decipiens,496909,ALG
Cyclotella sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Thalassiosirophycidae,,Stephanodiscales,,,Stephanodiscaceae,,,Cyclotella,,,,,,unlisted,unlisted,new 2006,observed,,,,,,2006-01-24,Mark Webber,iNat:49991081,,345199,ALG
Cylindrotheca closterium,(Ehrenberg) Reimann & J.C.Lewin,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,,,Bacillariaceae,,,Cylindrotheca,closterium,,,,,unlisted,unlisted,new 2006,observed,,,,,,2006-07-21,Mark Webber,iNat:5197566,,203739,ALG
Cymathaere triplicata,(Postels & Ruprecht) J.Agardh,,three-ribbed kelp,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,Laminariaceae,,,Cymathaere,triplicata,,,,,unlisted,unlisted,reported,unobserved,2008-08-29,Andy Lamb,PMLS,PMLS2021:523,,,,,"Possible, no photo to check",429947,ALG
Cymbella sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Cymbellales,,,Cymbellaceae,,,Cymbella,,,,,,unlisted,unlisted,new 2006,observed,,,,,,2006-01-10,Mark Webber,iNat:5197569,,123878,ALG
Dactyliosolen fragilissimus,(Bergon) Hasle,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Rhizosoleniales,,,Rhizosoleniaceae,,,Dactyliosolen,fragilissimus,,,,,unlisted,unlisted,new 2020,observed,,,,,,2020-04-25,Mark Webber,iNat:50047033,,429201,ALG
Desmarestia aculeata,(Linnaeus) J.V.Lamouroux,,wiry acid weed,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Desmarestiales,,,Desmarestiaceae,,,Desmarestia,aculeata,,,,,unlisted,unlisted,reported,unobserved,1973-10-03,Sandra C. Lindstrom,UBC,A84175,,,,,"possible, no photo to check",182896,ALG
Desmarestia herbacea,(Turner) J.V.Lamouroux,,colour changer,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Desmarestiales,,,Desmarestiaceae,,,Desmarestia,herbacea,,,,,unlisted,unlisted,new 2009,observed,,,,,,2009-07-08,Shera Street,iNat:2635150,,345459,ALG
Desmarestia ligulata,(Stackhouse) J.V. Lamouroux,,flattened acid kelp,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Desmarestiales,,,Desmarestiaceae,,,Desmarestia,ligulata,,,,,unlisted,unlisted,new 2019,observed,1991-01-29,Oliver Kaddatz,UBC,A80348,,2019-05-04,Isabelle M. Côté,iNat:129150963,"possible, no photo to check",328357,ALG
Desmarestia viridis,(O.F. Müller) J.V. Lamouroux,,stringy acid weed,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Desmarestiales,,,Desmarestiaceae,,,Desmarestia,viridis,,,,,unlisted,unlisted,new 2017,observed,,,,,,2017-04-08,Tyrel Froese,iNat:5620551,,182892,ALG
Detonula pumila,(Castracane) Gran,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Thalassiosirophycidae,,Thalassiosirales,,,Thalassiosiraceae,,,Detonula,pumila,,,,,unlisted,unlisted,new 2005,observed,,,,,,2005-07-14,Mark Webber,iNat:5197581,,468053,ALG
Devaleraea mollis,"(Setchell & N.L.Gardner) G.W.Saunders, C.J.Jackson & Salomaki",,thin dulse,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,,,Palmariales,,,Palmariaceae,,,Devaleraea,mollis,,,,,unlisted,unlisted,reported,unobserved,2005-12-10,Andy Lamb,PMLS,PMLS2021:1128,,,,,reported as Palmaria mollis,747472,ALG
Dictyocha crux,Ehrenberg,,golden alga,Chromista,Ochrophyta,,,Chrysophyceae,,,Dictyochales,,,Dictyochaceae,,,Dictyocha,crux,,,,,unlisted,unlisted,new 2006,observed,,,,,,2006-07-13,Mark Webber,iNat:5197588,,534455,ALG
Dictyocha fibula,Ehrenberg,,golden alga,Chromista,Ochrophyta,,,Chrysophyceae,,,Dictyochales,,,Dictyochaceae,,,Dictyocha,fibula,,,,,unlisted,unlisted,new 2005,observed,,,,,,2005-01-20,Mark Webber,iNat:4849190,,424389,ALG
Dictyota binghamiae,J.Agardh,,mermaid's gloves,Chromista,Ochrophyta,,,Phaeophyceae,,,Dictyotales,,,Dictyotaceae,,,Dictyota,binghamiae,,,,,unlisted,unlisted,reported,unobserved,1999-05-04,Andy Lamb,PMLS,PMLS2021:276,,,,,"possible, no photo to check",124829,ALG
Dinophysis acuminata,Claparède & Lachmann,,dinoflagellate,Chromista,Miozoa,Myzozoa,Dinoflagellata,Dinophyceae,,,Dinophysiales,,,Dinophysiaceae,,,Dinophysis,acuminata,,,,,unlisted,unlisted,new 2012,observed,,,,,,2012-08-05,Mark Webber,iNat:4849148,,320121,ALG
Diploneis sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Diploneidineae,,Diploneidaceae,,,Diploneis,,,,,,unlisted,unlisted,new 2006,observed,,,,,,2006-01-22,Mark Webber,iNat:50195051,,345801,ALG
Ditylum brightwellii,(T. West) Grunow,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Lithodesmidales,,,Lithodesmiaceae,,,Ditylum,brightwellii,,,,,unlisted,unlisted,new 2011,observed,,,,,,2011-11-19,Mark Webber,iNat:4848365,,424387,ALG
Ebria tripartita,(Schumann) Lemmermann,,flagellate,Chromista,Cercozoa,Filosa,Ventrifilosa,Thecofilosea,,,Ebriida,,,Ebriidae,,,Ebria,tripartita,,,,,unlisted,unlisted,new 2022,observed,,,,,,2022-06-25,Andrew Simon,iNat:126984541,,990948,ALG
Egregia menziesii,"(Turner) Areschoug, 1876",,feather boa kelp,Chromista,Ochrophyta,,,Phaeophyceae,Fucophycidae,,Laminariales,,,Lessoniaceae,,,Egregia,menziesii,,,,,unlisted,unlisted,reported,unobserved,1991-01-29,Oliver Kaddatz,UBC,A80351,,,,,,67419,ALG
Ellerbeckia sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Paraliales,,,Radialiplicataceae,,,Ellerbeckia,,,,,,unlisted,unlisted,new 2020,unobserved,2020-11-15,"Mark Webber, Siobhan Schenck & Arjan van Asselt",Webber et al. 2022,WEBBERETAL2022:78,,,,,,544124,ALG
Encyonema sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Cymbellales,,,Gomphonemataceae,,,Encyonema,,,,,,unlisted,unlisted,new 2020,unobserved,2020-11-15,"Mark Webber, Siobhan Schenck & Arjan van Asselt",Webber et al. 2022,WEBBERETAL2022:80,,,,,,345803,ALG
Endocladia muricata,(Endlicher) J.Agardh,,nail brush seaweed,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gigartinales,,,Endocladiaceae,,,Endocladia,muricata,,,,,unlisted,unlisted,reported,confirmed,2006-11-11,Andy Lamb,PMLS,PMLS2021:1214,,2019-05-05,Bridgette Clarkston,iNat:25927063,,117781,ALG
Entomoneis sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Surirellales,,,Entomoneidaceae,,,Entomoneis,,,,,,unlisted,unlisted,new 2020,unobserved,2020-11-15,"Mark Webber, Siobhan Schenck & Arjan van Asselt",Webber et al. 2022,WEBBERETAL2022:81,,,,,,359960,ALG
Ephemera sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Naviculineae,,Plagiotropidaceae,,,Ephemera,,,,,,unlisted,unlisted,new 2008,observed,,,,,,2008-07-19,Mark Webber,iNat:4856515,,173671,ALG
Eucampia zodiacus,Ehrenberg,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Coscinodiscophycidae,,Hemiaulales,,,Hemiaulaceae,,,Eucampia,zodiacus,,,,,unlisted,unlisted,new 2004,observed,,,,,,2004-07-23,Mark Webber,iNat:4848935,,468045,ALG
Eupyxidicula turris,(Greville) S.Blanco & C.E.Wetzel,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Archaegladiopsophycidae,,Stephanopyxales,,,Stephanopyxidaceae,,,Eupyxidicula,turris,,,,,unlisted,unlisted,new 2005,observed,,,,,,2005-07-14,Mark Webber,iNat:4848947,,1268528,ALG
Extubocellulus cribriger,"Hasle, Stosch & Syvertsen",,diatom,Chromista,Bacillariophyta,Bacillariophytina,,Mediophyceae,Cymatosirophycidae,,Cymatosirales,,,Cymatosiraceae,,,Extubocellulus,cribriger,,,,,unlisted,unlisted,new 2020,unobserved,2020-11-15,"Mark Webber, Siobhan Schenck & Arjan van Asselt",Webber et al. 2022,WEBBERETAL2022:82,,,,,,1424555,ALG
Extubocellulus spinifer,"Hasle, Stosch & Syvertsen",,diatom,Chromista,Bacillariophyta,Bacillariophytina,,Mediophyceae,Cymatosirophycidae,,Cymatosirales,,,Cymatosiraceae,,,Extubocellulus,spinifer,,,,,unlisted,unlisted,new 2020,unobserved,2020-11-15,"Mark Webber, Siobhan Schenck & Arjan van Asselt",Webber et al. 2022,WEBBERETAL2022:83,,,,,,1424557,ALG
Fallacia laevis,Yuh. Li & Hidek,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Sellaphorineae,,Sellaphorineae,,,Fallacia,laevis,,,,,unlisted,unlisted,new 2020,unobserved,2020-11-15,"Mark Webber, Siobhan Schenck & Arjan van Asselt",Webber et al. 2022,WEBBERETAL2022:23,,,,,,1465273,ALG
Fallacia litoricola,(Hustedt) D.G.Mann,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Naviculales,Sellaphorineae,,Sellaphorineae,,,Fallacia,litoricola,,,,,unlisted,unlisted,new 2020,unobserved,2020-11-15,"Mark Webber, Siobhan Schenck & Arjan van Asselt",Webber et al. 2022,WEBBERETAL2022:25,,,,,,991554,ALG
Farlowia mollis,(Harvey & Bailey) Farlow & Setchell,,tattered red seaweed,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gigartinales,,,Dumontiaceae,,,Farlowia,mollis,,,,,unlisted,unlisted,new 2019,observed,2006-03-05,Andy Lamb,PMLS,PMLS2021:1132,,2019-05-04,Bridgette Clarkston,iNat:25861009,,117783,ALG
Fragilaria capucina,Desmazières,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Fragilariophycidae,,Fragilariales,,,Fragilariaceae,,,Fragilaria,capucina,,,,,unlisted,unlisted,new 2004,observed,,,,,,2004-07-20,Mark Webber,iNat:5197628,,345512,ALG
Fragilariopsis cf oceanica,(Cleve) Hasle,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,,,Bacillariaceae,,,Fragilariopsis,oceanica,,,,,unlisted,unlisted,new 2006,observed,,,,,,2006-01-24,Mark Webber,iNat:5197620,,534459,ALG
Fragilariopsis kerguelensis,(O'Meara) Hustedt,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Bacillariales,,,Bacillariaceae,,,Fragilariopsis,kerguelensis,,,,,unlisted,unlisted,new 2020,unobserved,2020-11-15,"Mark Webber, Siobhan Schenck & Arjan van Asselt",Webber et al. 2022,WEBBERETAL2022:92,,,,,,1424562,ALG
Fredericqia chiton,"(M.Howe) Maggs, L.Le Gall, Mineur, Provan & G.W. Saunders",,thin forked seaweed,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gigartinales,,,Phyllophoraceae,,,Fredericqia,chiton,,,,,unlisted,unlisted,new 2016,unobserved,2016-03-27,Andy Lamb,PMLS,PMLS2021:2257,,,,,reported as Gymnogongrus chiton,957351,ALG
Fredericqia deveauniensis,"Maggs, L.Le Gall, Mineur, Provan & G.W.Saunders",,red alga,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Gigartinales,,,Phyllophoraceae,,,Fredericqia,deveauniensis,,,,,unlisted,unlisted,new 2019,observed,,,,,,2019-05-05,Bridgette Clarkston,iNat:25927077,,564944,ALG
Fryeella gardneri,(Setchell) Kylin,,arched red seaweed,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Rhodymeniales,,,Fryeellaceae,,,Fryeella,gardneri,,,,,unlisted,unlisted,confirmed,unobserved,1977-11-27,Michael W. Hawkes,UBC,A57502,,,,,"no change, but no photos to confirm",500286,ALG
Fucus distichus,L.,,rockweed,Chromista,Ochrophyta,,,Phaeophyceae,,,Fucales,,,Fucaceae,,,Fucus,distichus,,,,,unlisted,unlisted,new 2014,observed,1994-09-10,Andy Lamb,PMLS,PMLS2021:196,,2014-02-11,lhurteau,iNat:16788084,syn. Fucus distichus ssp. evanescens,69155,ALG
Gedaniella mutabilis,"Chunlian Li & Witkowski, nom. illeg.",,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Fragilariophycidae,,Fragilariales,,,Fragilariaceae,,,Gedaniella,mutabilis,,,,,unlisted,unlisted,new 2020,unobserved,2020-11-15,"Mark Webber, Siobhan Schenck & Arjan van Asselt",Webber et al. 2022,WEBBERETAL2022:94,,,,,,1424563,ALG
Gedaniella panicellus,"Chunlian Li, S.X.Yu & Witkowski",,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Fragilariophycidae,,Fragilariales,,,Fragilariaceae,,,Gedaniella,panicellus,,,,,unlisted,unlisted,new 2020,unobserved,2020-11-15,"Mark Webber, Siobhan Schenck & Arjan van Asselt",Webber et al. 2022,WEBBERETAL2022:95,,,,,,944705,ALG
Gloiocladia fryeana,(Setchell) N.Sánchez & Rodríguez-Prieto,,margined blue branching seaweed,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Rhodymeniales,,,Faucheaceae,,,Gloiocladia,fryeana,,,,,unlisted,unlisted,confirmed,unobserved,2006-09-29,Andy Lamb,PMLS,PMLS2021:1203,,,,,reported as Fauchea fryeana,865801,ALG
Gloiocladia laciniata,(J.Agardh) Sánchez & Rodríguez-Prieto,,blue branching seaweed,Plantae,Rhodophyta,Eurhodophytina,,Florideophyceae,Rhodymeniophycidae,,Rhodymeniales,,,Faucheaceae,,,Gloiocladia,laciniata,,,,,unlisted,unlisted,new 2019,observed,1995-02-24,Charlie Gibbs,PMLS,PMLS2021:1069,,2019-05-04,Isabelle M. Côté,iNat:129284352,,429862,ALG
Gomphoneis sp.,,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Cymbellales,,,Gomphonemataceae,,,Gomphoneis,,,,,,unlisted,unlisted,new 2020,unobserved,2020-11-15,"Mark Webber, Siobhan Schenck & Arjan van Asselt",Webber et al. 2022,WEBBERETAL2022:26,,,,,,345404,ALG
Gomphonema acuminatum,Ehrenberg,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Cymbellales,,,Gomphonemataceae,,,Gomphonema,acuminatum,,,,,unlisted,unlisted,new 2004,observed,,,,,,2004-07-21,Mark Webber,iNat:9291305,,333685,ALG
Gomphonemopsis pseudexigua,Medlin,,diatom,Chromista,Ochrophyta,,,Bacillariophyceae,Bacillariophycidae,,Cymbellales,,,Rhoicospheniaceae,,,Gomphonemopsis,pseudexigua,,,,,unlisted,unlisted,new 2020,unobserved,2020-11-15,"Mark Webber, Siobhan Schenck & Arjan van Asselt",Webber et al. 2022,WEBBERETAL2022:97,,,,,,992202,ALG
