ecotype,type,latitude,longitude ,accuracy
1a,pasture / grounds,48.9464,-123.5127,100 m 
1b,pasture / grounds,48.9447,-123.5136,100 m 
1c,pasture / grounds,48.9459,-123.511,100 m 
2a,arbutus- Douglas-fir ,48.9447,-123.511,100 m 
2b,Douglas-fir - arbutus,48.9432,-123.514,100 m 
3a,Douglas-fir - salal,48.9447,-123.5103,100 m 
3b,Douglas-fir - salal,48.9436,-123.5141,100 m 
4,Douglas-fir - sword fern,48.9441,-123.5142,100 m 
5a,western redcedar / red alder - salmonberry,48.9441,-123.513,100 m 
5b,western redcedar / red alder - salmonberry,48.9466,-123.515,100 m 
6a,Douglas-fir salal (grazed),48.9459,-123.5137,100 m 
6b,Douglas-fir salal (grazed),48.9457,-123.5112,100 m 
7,Douglas-fir / arbutus - Oregon grape,48.9442,-123.5107,100 m 
8a,Douglas-fir - sword fern (grazed),48.9455,-123.5118,100 m 
8b,Douglas-fir - sword fern (grazed),48.9459,-123.515,100 m 
9,Douglas-fir - salmonberry,48.9457,-123.5161,100 m 
10,baldhip rose - beach pea,48.9434,-123.5101,100 m 
11,pond ,48.9437,-123.5118,100 m 
12,marine intertidal ,48.9431,-123.5118,100 m 